Text version of loaded midi tracks
Midi events are: Cumulative-midi-time time status data1 data2 data2
Cumulative midi time starts with the first note-on event, if there is one.
The status byte is printed in hex.  All others are decimal integers.

Number of tracks: 1

Track 0: 2347 events (skipping sysex)
     15246     10 90  53  34   0
     15264     18 90  62  22   0
     15294     30 80  53  64   0
     15302      8 80  62  64   0
     15360     58 90  79  52   0
     15360      0 80  80  64   0
     15476    116 90  58  46   0
     15476      0 90  58  46   0
     15494     18 90  77  52   0
     15494      0 90  68  45   0
     15494      0 90  62  33   0
     15504     10 80  79  64   0
     15504      0 80  70  64   0
     15542     38 80  62  64   0
     15706    164 80  77  64   0
     15706      0 80  68  64   0
     15734     28 B0  64   0   0
     15734      0 90  51  61   0
     15744     10 90  75  71   0
     15744      0 90  67  61   0
     15792     48 80  75  64   0
     15792      0 80  67  64   0
     15860     68 80  51  64   0
     15860      0 80  58  64   0
     16014    154 90  70  60   0
     16110     96 80  70  64   0
     16128     18 90  70  58   0
     16254    126 80  70  64   0
     16262      8 90  70  56   0
     16368    106 90  70  60   0
     16474    106 80  70  64   0
     16494     20 90  46  65   0
     16494      0 90  70  83   0
     16560     66 80  70  64   0
     16618     58 80  46  64   0
     16790    172 90  68  49   0
     16790      0 90  74  57   0
     16800     10 90  65  34   0
     16800      0 90  58  31   0
     16848     48 80  65  64   0
     16848      0 80  58  64   0
     16878     30 80  68  64   0
     16906     28 90  75  61   0
     16964     58 80  74  64   0
     17002     38 B0  64 127   0
     17022     20 90  77  68   0
     17022      0 90  74  59   0
     17050     28 80  75  64   0
     17050      0 90  68  51   0
     17060     10 90  65  42   0
     17060      0 90  58  38   0
     17118     58 80  68  64   0
     17118      0 80  77  64   0
     17118      0 80  74  64   0
     17146     28 80  65  64   0
     17146      0 80  58  64   0
     17300    154 90  70  66   0
     17310     10 90  51  55   0
     17348     38 B0  64   0   0
     17366     18 80  70  64   0
     17414     48 80  51  64   0
     17550    136 90  75  47   0
     17588     38 90  67  33   0
     17588      0 90  63  46   0
     17588      0 90  58  42   0
     17636     48 80  67  64   0
     17654     18 B0  64 127   0
     17654      0 80  63  64   0
     17654      0 80  58  64   0
     17674     20 90  77  50   0
     17790    116 80  75  64   0
     17798      8 90  79  65   0
     17798      0 90  75  56   0
     17818     20 90  63  45   0
     17818      0 90  58  41   0
     17818      0 90  67  44   0
     17828     10 80  77  64   0
     17856     28 80  67  64   0
     17866     10 80  63  64   0
     17866      0 80  58  64   0
     17886     20 80  79  64   0
     17886      0 80  75  64   0
     17952     66 B0  64   0   0
     18068    116 90  70  64   0
     18078     10 90  50  49   0
     18116     38 80  70  64   0
     18164     48 80  50  64   0
     18240     76 B0  64 127   0
     18326     86 90  77  48   0
     18346     20 90  65  47   0
     18346      0 90  58  43   0
     18366     20 90  68  28   0
     18414     48 80  68  64   0
     18422      8 80  65  64   0
     18422      0 80  58  64   0
     18452     30 90  79  54   0
     18510     58 80  77  64   0
     18548     38 90  80  60   0
     18548      0 90  77  52   0
     18576     28 80  79  64   0
     18586     10 90  68  35   0
     18596     10 90  65  42   0
     18596      0 90  58  38   0
     18596      0 80  80  64   0
     18596      0 80  77  64   0
     18634     38 80  65  64   0
     18634      0 80  58  64   0
     18634      0 80  68  64   0
     18644     10 B0  64   0   0
     18826    182 90  82  65   0
     18826      0 90  73  54   0
     18826      0 90  79  56   0
     18836     10 90  51  46   0
     18894     58 B0  64 127   0
     19086    192 80  51  64   0
     19094      8 90  67  58   0
     19094      0 90  61  53   0
     19094      0 90  58  48   0
     19104     10 80  82  64   0
     19104      0 80  73  64   0
     19104      0 80  79  64   0
     19182     78 80  67  64   0
     19190      8 80  61  64   0
     19190      0 80  58  64   0
     19334    144 90  82  65   0
     19334      0 90  73  54   0
     19334      0 90  79  56   0
     19344     10 90  52  58   0
     19450    106 90  82  64   0
     19450      0 90  73  53   0
     19450      0 90  79  55   0
     19546     96 80  52  64   0
     19574     28 90  53  56   0
     19594     20 90  82  79   0
     19594      0 90  73  66   0
     19594      0 90  79  68   0
     19758    164 80  53  64   0
     19786     28 80  82  64   0
     19872     86 90  84  59   0
     19882     10 90  56  43   0
     19902     20 90  65  42   0
     19902      0 B0  64   0   0
     19988     86 90  82  58   0
     20006     18 80  65  64   0
     20016     10 80  56  64   0
     20064     48 80  84  64   0
     20102     38 90  80  56   0
     20102      0 90  72  48   0
     20150     48 80  82  64   0
     20150      0 80  73  64   0
     20150      0 80  79  64   0
     20160     10 90  44  32   0
     20190     30 B0  64 127   0
     20198      8 80  80  64   0
     20198      0 80  72  64   0
     20256     58 80  44  64   0
     20324     68 B0  64   0   0
     20390     66 90  80  62   0
     20390      0 90  71  53   0
     20400     10 90  46  46   0
     20496     96 80  80  64   0
     20516     20 80  46  64   0
     20564     48 B0  64 127   0
     20660     96 90  82  45   0
     20670     10 90  55  40   0
     20708     38 80  55  64   0
     20784     76 90  80  38   0
     20794     10 80  82  64   0
     20890     96 90  79  42   0
     20890      0 90  70  36   0
     20890      0 90  55  53   0
     20900     10 80  80  64   0
     20900      0 80  71  64   0
     20910     10 90  63  27   0
     20948     38 80  55  64   0
     20958     10 80  79  64   0
     20958      0 80  70  64   0
     20958      0 80  63  64   0
